Empty,"TB is intracellular; thereby TH1 cells mediate the response with granulomas, stimulating formation of giant cells, etc."
" _S. aureus_ most common cause of pneumonia in CF patients under 20; where as >20 _P. aeruginosa_ predominates; in normal patients, _S. pneumoniae_ is the most common",S. aureus &amp; P. aeruginosa
" posterior lymphadenopathy can be described as ""enlarged cervical lymph nodes""; adenopathy can be described as ""erythematous tonsils w/o exudates""; and splenomegaly can be described as ""palpable spleen tip""",EBV
" common cause of transient hypothyroidism after several viral illnesses (e.g. mumps, EBV, coxsackie, flu, adenovirus)",De Quervain thyroiditis
" high fever, dysphagia, drooling, inspiratory stridor, respiratory distress can all describe inflammation of the epiglottis",Epiglottitis
" associated with HLA-B27, family history of psoriatic arhthritis; note *no anti-IgG Abs*",Reactive arthritis
 Vi antigen - protects it from opsonization and phagocytosis,Salmonella
 transmitted via fecal-oral route; human to human only,Shigella
 can be transmitted from domestic animals to humans,Campylobacter
 ecthyma gangrenosum is associated with P. aeruginosa bacteremia,Pseudomonas aeruginosa
 infection does not result in lasting immunity due to antigenic variation in outer membrane,N. gonorrhoeae
 usefil first line treatments for pseudomonas,Cefepime (3rd gen cephalosporin) and Cipro/Levo-floxacin
" can lead to hemolytic anemia due to ""I-antigen"" via molecular mimicry",Mycoplasma pneumoniae
 Biopsy of necrotic tissue is a good tool for diagnosis,Mucor
 Daily valacyclovir is good for preventing recurrent breakouts; initial weeklong course of acyclovir during the first episode tends to create room for healing and pain,HSV-2
 Uses antigenic pilli to adhere to nasopharynx epithelial cells,Neisseria meningititis
" can be described as ""continuous machinery murmur over the left infraclavicular area""",Patent arteriosus ductus &amp; congential Rubella
 can appear as cystic brain lesion with low enhancement in immunocompentent,Taenia &amp; Neurocysticercosis
 immobile; non-invasive; toxoid and IgG against toxoid is key clinically,Corynebacterium diptheriae
 macular diffuse rash that looks like measles,Morbilliform rash
" which includes cardiolipin, cholesterol, and lecithin, can be positive with infection of _T. pallidum_",Rapid plasma reagin (RPR) test
 meningitis caused by mumps is associated with parotitis (&amp; thus facial swelling),Mumps
 temporal encephalitis can lead to massive necrosis of the area,HSV-1
 pure viral pneumonias do not progress to bronchiectasis,Micro
" cough, asthma-like bronchospasm, hemoptysis, or transient pneumonia may be present; *transient* (no remodeling/bronchiectasis)",Strongyloides
 common cause of septic arthritis,N gonorrhoeae
" can be presented as ""severe pain and swelling; tenderness; microscopic analysis reveals an exudate with high neutrophil content""",Septic arthritis
 treatment is with ampicillin because it has altered penicillin-binding proteins,Listeria
 infection does not necessarily include mengingitis; can just result in Waterhouse-Friderichsen syndrome,N meningititis
" any type of abortion that results in infected retained products of contraception; commonly associated with fever, abdominal pain, uterine tenderness, foul-smelling discharge; associated with s. aureus",Septic abortion
 (aka typhoid fever) associated with hepatosplenomegaly due to invasive encapsulated organisms,Salmonella Typhi
" can be described as ""had a severe abdominal accident""; which has implications for infections",Asplenic
 anaerobic gram negative rods associated with aspiration pneumonia in alcoholics,Fusobacterium spp
 dextrans produced help viridians strep bind to the fibrin and platelet complexes near sites of endothelial trauma (e.g. damaged mitral valve) -> endocarditis,Viridans streptococci
" can be described as maculopapular rash, multiple purpuric lesions, and hepatomegaly; along with high fever, headaches, myalgias, joint pains",Dengue fever
 tinea capitis and other tinea forms can be spread through both human to human and animal to human contact,Tinea
 doubly refractile wall and a single broad-based bud,Blastomyces
 multiple painful superficial vesicles or ulcerations with an erythematous base; specific vesicles are _not always there_; ulcerations can be sole feature,HSV
" progressive, red serpigenous ulcerative lesions without lymphadenopathy",Klebsiella
 key term in describing the lesion: vesicular &amp; inflamed,HSV
 transmural inflammation of the blood vessels that can spare _pulmonary circulation_,Polyarteritis nodosa
 S1 from ventricular contraction -> closing of the mitral and tricuspid valves almost simultaneously; S2 from afterload pressure closing aortic and pulmonic valves while atria contract,S1 and S2 heart sounds
 Insufficiency = Regurgitation,Heart valve
 usually occurs a while after hepatitis B infections,Polyarteritis nodosa
 can cause chest pain and shortness of breath via embolic events,Endocarditis
" Patients with papillary muscle rupture (usually ~1 wk post-MI) will present with acute mitral insufficiency, causing heart failure; requires emergency surgery",MI
 associated with a perforated nasal septum,Wegner's disease / gramulomatosis with polyangiitis
" typically causes hypokalemia; on ECG, reads as peaked T-waves",Renal failure
 associated with cGMP GCPR system,Protein kinase C
 associated with cAMP GCPR system,Protein kinase A
 can still cause bradycardia due to alpha-agonism effects >> beta-agonism effects,Norepinephrine
" If myopathy is not well-tolerated, an alternative statin should be prescribed before switching to a new class of medication; this is because statins have relatively low side-effects relative to other classes of cholesterol-lowering drugs",Statins
 Troponin takes a few hours to accumulate in blood; therefore ECG is the fastest in terms of diagnosing MI,Troponin / ECG
 caused by lipofuscin accumulation; lipofuscin is a non-degradable pigment formed from an iron-catalyzed oxidative process from autophagocytosed organelles;  normally present in the body with age,Brown atrophy of heart
 DVT -> pulmonary; generally not seen in states such as MI unless septal defect present; A-fib can generate emboli that can shower into coronary circulation,Thromboembolic disease in cardiac
 non-focal scarring/weakening of the aorta that can cause aneurysm / rupture,Tree-bark aorta with syphillis
" associated with small, verrucous vegetations on the mitral valve",Libman-Sacks endocarditis
" in addition to the conjunctivitis, rash, and strawberry tongue, there is often a cervical adenopathy",Kawasaki disease
" Although they are the main site for generating systemic peripheral resistance in blood flow, they are not the site of the significant turbulence necessary to presdispose to atherosclerotic formation",Atherosclerosis
" can cause ""fish mouth"" deformation of the mitral valve -> regurgitation/insufficiency",Rheumatic heart disease
" in 50% of patients, occurs with polymyalgia rheumatica, an illness associated with symmetrical aching of proximal muscles and girdle stiffness",Giant cell arteritis
 upwards dissection (into the aortic arch) can result in asymmetric pulses where the right brachiocephalic artery may be affected while sparing the left subclavian; can result in pericardial tamponade,Acute aortic dissection
" associated with symptoms of chronic disease (malaise, low-grade fever, weight loss) in addition to valvular damage",Endocarditis
 occurs near the site of infarction,Cardiac free-wall rupture
 almost exclusively seen in adults; located in the atraia,Cardiac myxomas
" Beta-2 helps to dilate peripheral vessels in smooth muscle, skeletal muscle, pulmonary muscle, and coronary vessels",Adrenergic drugs
 excessive nitrate exposure results in venodilation; venodilation from nitrates can be unopposed (e.g. without compensatory vasoconstriction) in critical areas such as the coronary arteries resulting in cardiac ischemia,Monday disease
 therapeutic range is around 2-3,Warfarin INR
" is a nonselective Beta-antagonist, therefore not suitable for use in patients with asthma",Sotalol
 associated with other vasospastic diseases such as migraines and/or Raynaud,Prinzmetal angina
" drug-induced lupus is associated with serositis, which can present with sharp chest pain that does not radiate or change with movement, nothing may lessen the pain; drug-induced lupus is also associated with arthralgias, myalgias, and fatigue",SLE
 S4 sound caused by stiffness of hypertrophied ventricle; can be caused by HCM,Heart murmurs
 can be treated with amiodarone and sotalol,Ventricular tachycardia
" commonly asymptomatic; but assoc with male sex, Marfan, Ehlers-Danlos, inflammatory conditions",Thoracic aortic aneurysms
" pulsus paradoxus can present as ""diminishing heart sounds on inspiration""",Cardiac tamponade
 neonatal cyanosis; can be visualized in chest x-ray via a narrow mediastinum with an egg-shaped heart,Transposition of the great vessels
 S3 heart sound caused by overly-compliant left ventricle (e.g. dilated left ventricle),Heart murmurs
 not associated with tearing chest/back pain; that is with dissection; affects all layers of the aorta and does not form a false lumen,Ruptured abdominal aortic aneurysm
" can present without exertion, characterized by a *delta* wave on ECG, which replaces Q wave, shortened PR, widened QRS",Wolf-Parkinson-White syndrome
 blowing while holding nose closed; increases abdominal pressure -> reduce preload; this results in worsening of mitral valve prolapse (and not others),Valsalva maneuver
 can induce a lupus-like syndrome; presented as antihistone antibodies,Hydralazine
 large decrease in BP with inspiration; can be presented as 1st Kortokoff sound only being heard with high cuff pressure; 1st/2nd Kortokoff sound being heard with deflated cuff,Pulsus paradoxus
 lesions can be of varying stages; associated with Type III hypersensitivity,Polyartrertitis nodosa
" associated with palpable purpura, associated with MPO-ANCA along with p-ANCA; no asthma/nervous (differentiates from Churg-Strauss)",Microscopic polyangiitis
 amioderone is a commonly used treatment prior to class 1A antiarrythmics,Wolf-Parkinson-White Syndrome
 competitively inhibits HMG CoA reductase,Statins
 3-hydroxy-3-methylglutaryl coenzyme A (is AKA HMG CoA reductase),Statins
 last-resort blood pressure medication that can be given transdermally,Clonidine
 last-resort high blood pressure medication that can be given transdermally; alpha-2 antagonist,Clonidine
 has greatest effect on phase 0 of SA nodal tissue,Verapamil
 amlodipine - nifedipine > diltiazem > verapamil,Vascular smooth muscle relaxation/contractility
 closer to muscle in cell morphology the faster it conducts; Purkinje > Bundle of His > AV node,Conduction velocity of heart tissue
 respond to lower pressures vs. aortic arch baroreceptors; reduced activation leads to greater sympathetic outflow,Carotid baroreceptors
 voltage gated; not ligand gated; ligand gated are slower and are present in other areas such as nicotinic acetylcholine receptors,Ion channels in myocardium
 most common site of infective endocarditis in intravenous drug users,Tricuspid valve murmur
 is always maximized and unchanging,Oxygen extraction from heart muscle
" local hypoxia during exercise causes release of local metabolites (NO, adenosine, CO2) which *dilate* coronary arteries",Myocardio oxygen balance
" conduction speed within the heart; mostly controlled in AV node, via Beta-1 adrenergic receptor activation",Dromotropy
" can occur after radiation, trauma, or other chronic illness",Constriction pericarditis
 can be presented as an inverse R-R interval on ECG,Heart rate
 Central venous pressure and pulmonary capillary wedge pressure generally correlate with each other in terms of increase/decrease,Shock
 alpha 2 stimulation reduces sympathetic outflow; ultimately decreasing blood pressure,Alpha-2 adrenoreceptor
" ""Pomp trashes the pump""; nonfunctional alpha-1,4 glucosidase resulting in inability to break down glycogen -> cardiomyopathy",Pompe disease
" the third aortic arch, AKA the ""carotid arch""",Embryology of carotid artery
 the 4th aortic arch,Embryology of the aortic arch
 can be heard as a harsh holosystolic murmur in tricuspid area,Ventricular septal defect
 supplies the vertebral artery,Subclavian artery
 normally 2 umbilical arteries and 1 umbilical vein (=pulmonary vein); 1 umbilical artery highlights potential mal-growth,Umbilical cord
 Common in women in 3rd trimester pregnancy via mass/gravity effect of uterus; solution is to sleep on left side (closer towards aorta + aortic branches),Inferior Vena Cava compression
 (PDA) is formed from the 6th aortic arch,Embryology of the ductus arteriosus
" affinity of binding; ""apparently"" decreased with competitive inhibitor",Michaelis-Mentent Constant
 associated with Turner syndrome,Juxtaductal coarctation of the aorta
 unsafe for 1st trimester of pregnancy,Warfarin
" selective Beta-1 antagonist; which are found only on cardiac tisssue and renal juxtaglomerular cells (decreases HR, contractility, renin secretion)",Atenolol
" can present with sudden-onset neurologic deficits that fully resolve within minutes; aspirin therapy is useful for further prohylaxis, especially in patients with hypertension, hypercholesterolemia",Transient ischemic attack
 exerts a permissive effect on many hormones to allow them to achieve maximal effect (e.g. norepinephrine),Cortisol
" when combined, show a negative PPD during active infection (low CD4+ cells)","HIV, TB"
" cancers from certain pneumoconioses can be termed as ""bronchogenic carincoma""",Lung cancers
" associated with ""signet-ring"" sign where airway lumen is larger than adjacent vessel",Bronchiectasis
" associated with the classic triad of ptosis, miosis, and anhidrosis; can occur through Pancoast tumor",Horner syndrome
 associated with impaired endoplasmic reticulum processing of _CTFR_ gene product; resulting in phenotype &amp; symptoms,Cystic fibrosis
 abnormal protein folding results in impaired ER processing of _CTFR_ gene product,Cystic fibrosis
 can present as emphysema with hepatic damage,A1AT deficiency
 CD8+ cells and monocytes are the main responders; CD4+ cells are less common,Chronic bronchitis
" ""stones, bones, groans, and psychiatric overtones""",Hypercalcemia
 can present as gross hematuria that occurs with respiratory or GI infections; caused by excess IgA depositing in the mesangium,Berger disease
" associated with industrial toxin exposure to aniline dyes, commonly used in the textile industry",Transitional cell carcinoma
" a type III hypersensitivity reaction that occurs when medication causes the creation of antibodies, which then complex and deposit in tissue",Acute serum sickness
" can present with isolated hematuria, sensory hearing loss, ocular disturbances",Alport syndrome
" hyperlipidemia, hypercholesterolemia may result in fatty urine casts",Nephrotic syndrome
 non-anion gap metabolic acidosis + hypotension,Diarrheal illness
 BUN:Cr>20,Pre-renal azotemia
" typically presents with intermittent wheezing, facial flushing, and diarrhea",Carcinoid syndrome
" can be treated for 3 months with isoniazid, pyridoxine, rifa_pentine_ instead of 9 months with isoniazid, pyridoxine (older standard)",Latent TB infection
 antidote for CN toxicity; presentation associated with 'bitter almond smell',Thiosulfate
 treated with simple sodium bicarbonate to limit anion-gap metabolic acidosis,Acetylsalicyclic acid overdose
" along with loop diuretics, associated with tubulointerstitial nephritis",Thiazide diuretics
 Unilateral vision loss can be a complication from CMV infection (via severe retinitis),AIDS
" symptomatic cervicitis (if it occurs at all), may have a mucopurulent vaginal discharge",Chlymidia trachomatis
 highly sensitive to radiotherapy,Testicular seminoma
 Reinke (testosterone) crystals; not sensitive to radiotherapy,Testicular leydig cell tumors
 tested via urine dipstick (assess proteinuria),Preeclampsia
" associated with the complication of disseminated intravascular coagulation, and thus altered labs such as elevated D-Dimers",Preeclampsia
" prenatal hormone. If elevated, indicative of an open neural tube defect (not skin covered); issue with defective primary neurulation",alpha-fetoprotein
" prenatal hormone. If decreased, indicates Down syndrome",alpha-fetoprotein
 a T2 hypersensitiviy reaction; with IgM causing complement lysis of RBCs; can be due to wrong blood type,Transfusion reaction
 binding affinity =! oxygen carry-capacity,CO Poisoning
 can be associated with IL-2 receptor defect,SCID
 dimercaperol can be used for treatment of acute lead poisoning,Lead poisoning
" thiosulfate (donates sulfur), sodium nitrate (generates methemoglobin to squester CN), or hydroxocobalamin (donates cobalt) can be used to treat cyanide poisoning",CN (Cyanide) poisoning
 stored in hepatic stellate (Ito) cells,Vitamin A
" Milk-alkali syndrome is comprised of constipation, muscle weakness, depression, fatigue",hypercalcemia
 associated with kidney stones due to malabsorption of fat + calcium -> no binding of calcium to oxalate -> oxalate stones,Crohn's disease
 associated w/ fibrous replacement of smooth muscle in lower esophagus,Scleroderma
 guaiac test == fecal occult blood test,GI
" works as a pro-kinetic agent via antagonizing D2 receptors in the LES, increasing lower esophageal tone, contractility, and motility",Meclopromide
 IGF-1 hypersecretion secondary to GH adenoma can inhibit insulin release,Acromegaly
" 1st gen ""-amide"" drugs have a disulfram-like reaction with drinking (e.g. ""cocktail party"")",Sulfonylurea drugs
 associated with an anion-gap metabolic acidosis (MUDPILES: D for diabetic ketoacidosis),T1DM
" Low vitamin D (via staying in room, liver cirrhosis, nephrotic syndrome) -> can lead to hypocalcemia",Parathyroid
 Only electron carrier that is used for anabolic reactions (e.g. steroid synthesis),NADPH
 Used for catabolic (energy-releasing) reactions,NAD+
" useful for ETC, glycolysis, EtOH metabolism",NADH
 redox factor in Krebs cycle,FAD
" Useful for ETC, from B2",FADH2
" inhibits AMP-Kinase in the liver, resulting in decreased gluconeogenesis and peripheral insulin sensitivity",Metformin
 also affects basal body temperature; increases temp by up to 1 degree F in luteal phase of ovulation,Progesterone
" order of implantation sites: Ampulla, Isthmus, fimbriae, interstitium",Ectopic pregnancy
" as ovaries cannot produce estrogen any longer, FH/LSH, and tertiary GnRH is high",Menopause
" the suspensory ligaments contain the main ovarian arteries; the cardinal ligaments contain uterine arteries, ovarian and round ligaments are purely structural",Ovary
 mittleschmerz is ovarian pain due to bleeding from the rupture of a mature follicle,Ovary
 Sertoli cells secrete anti-Mulluerian factor to regress female gonadal development in embryogenesis,Testes
 stimulates thecal cells to convert androgens to estrogen,FSH
" remain in PROPHASE 1 until ovulation; once ovulated, remain in METAPHASE 2 until fertilization",Oocytes
" can present with ascities, heart failure. (if in Rh related severe hemolytic disease of the newborn, pale, thickened enlarged placenta)",Hydrops fetalis
 Penicillin G injected once intramuscularly is used; not just any penicillin will do,Syphillis
" form the structures from *SEED* - seminal vesicles, epididymis, ejaculatory duct, ductus deferens; AKA mesonephric (vs paramesonephric Mulerian ducts)",Wolffian ducts
" AKA paramesonephric ducts; makes uterus, cervix, upper 1/3 of vagina",Muellerian ducts
 precursor to tyrosine (e.g. for thyroid hormone production),Phenylalanine
 porphyrin precursor used in heme synthesis,Glycine
" used in synthesis of serotonin, niacin, melatonin",Tryptophan
" a synthetic GnRH analogue; when administered, artificially inhibits FSH/LH (e.g. for reducing androgens in prostate canceR)",Leuprolide
 beta-blockers are first-line therapy for glaucoma; but are contraindicated in heart block (since they are also Class II antiarrythmics),Glaucoma
" the floor of the pharnyx develops first, followed by the arches (as they are named)",Pharyngeal arches
  associated with advanced PATERNAL age,Achondroplasia
 sodium is _absorbed_ from secretions over time; whereas potassium is _secreted_ over time; always inverse,Saliva
" commonly treated by anti-diarrheals (e.g. loperamide, diphenoxylate)",Irritable Bowel Syndrome (IBS)
" associated with older male, smoking; appears as well-circumscribed, partially cystic mass of lymphocytes which may form follicles",Warthin tumor
 AST/ALT levels would be grossly elevated (>1000),Acute viral hepatitis
 unlikely associated with fever or leukocytosis,Bowel volvulus
 such as leuprolide are equally useful for prostate cancer as for estrogen-sensitive leiomyomas of the uterus,GnRH agonists
